,Switzerland_0,Switzerland_1,Switzerland_2,Switzerland_3,Switzerland_4,Switzerland_5,Switzerland_6,Switzerland_7,Switzerland_8,Switzerland_9,Switzerland_10
Argentina_0,10.7827559691112,10.049178601013615,4.682754151367204,1.4547249622926057,0.3389391126746465,0.06317605049940409,0.009813004773452457,0.0013064859943772839,0.00015220031797564645,1.5760639620126176e-05,1.4688404602920301e-06
Argentina_1,13.966414165212537,13.016244711834657,6.065358809864044,1.8842391850519113,0.4390124415283363,0.08182906940717766,0.012710339477574356,0.0016922319813963793,0.00019713816050500278,2.0414040814232034e-05,1.9025223486302147e-06
Argentina_2,9.04503102884966,8.429675355818375,3.928091920184874,1.2202847268427388,0.2843164400469733,0.05299473888533015,0.008231562776380213,0.0010959356208887756,0.00012767205365994956,1.3220690035732039e-05,1.2321254026178562e-06
Argentina_3,3.905205986545992,3.639525233156423,1.6959596969298447,0.5268597979771632,0.1227540580240656,0.02288055960121492,0.0035539898238511015,0.00047317188121444786,5.512260451923138e-05,5.708053151960928e-06,5.319720278605382e-07
Argentina_4,1.2645589950475462,1.1785279412011544,0.5491748956084131,0.1706043929452806,0.03974943928379446,0.007409037463099019,0.0011508304083169072,0.0001532195127874728,1.784945163338098e-05,1.848345511706513e-06,1.7225980275107434e-07
Argentina_5,0.3275851686113001,0.3052987451305052,0.14226426088425478,0.04419522461797595,0.010297128738937844,0.0019193179567754963,0.00029812367380877377,3.969165545268874e-05,4.6239168325401105e-06,4.788156017043332e-07,4.462406004793654e-08
Argentina_6,0.07071769889368897,0.06590660017449704,0.03071140615796151,0.009540677926055419,0.002222900544358279,0.0004143342322971635,6.435767616361481e-05,8.568466487033948e-06,9.98191583761927e-07,1.0336468433680949e-07,9.63325310257961e-09
Argentina_7,0.013085346301199894,0.012195118058274081,0.005682727114436599,0.0017653724112025666,0.0004113174476983678,7.666690232951052e-05,1.1908510781825409e-05,1.5854779356101325e-06,1.8470174726844308e-07,1.9126225980495966e-08,1.7825021858228471e-09
Argentina_8,0.002118606857807497,0.0019744728305480424,0.0009200722975585289,0.00028582583990268204,6.659510152587489e-05,1.2412894645918877e-05,1.928069156743398e-06,2.5669969674230836e-07,2.990447324852751e-08,3.096666499574336e-09,2.8859926730367453e-10
Argentina_9,0.00030490391751589386,0.0002841605552461096,0.00013241420742580022,4.1135247907102316e-05,9.584178993747467e-06,1.7864287521326541e-06,2.774822695235722e-07,3.6943495615260345e-08,4.303767360670828e-09,4.456634998045668e-10,4.153439174843948e-11
Argentina_10,3.949281987667747e-05,3.680602635683181e-05,1.7151010999088066e-05,5.328061867532359e-06,1.2413951836029592e-06,2.3138800414663402e-07,3.5941018333078206e-08,4.7851232277861655e-09,5.574474429546699e-10,5.7724769385667114e-11,5.3797611568010575e-12
