,Belgium_0,Belgium_1,Belgium_2,Belgium_3,Belgium_4,Belgium_5,Belgium_6,Belgium_7,Belgium_8,Belgium_9,Belgium_10
Spain_0,12.92165697992422,13.184754943458879,6.72660492339129,2.287855127098369,0.5836095410169461,0.11909848393171127,0.020253908189648413,0.0029523283114400362,0.00037655508654433516,4.2691347527071704e-05,4.356058640350789e-06
Spain_1,13.256385574942698,13.526298950140351,6.900854016889851,2.3471207873375524,0.5987276332250497,0.12218366629317078,0.020778574820444085,0.003028806793205723,0.0003863095441391989,4.379724399216004e-05,4.468900003557388e-06
Spain_2,6.799892567360949,6.938345235583506,3.5398084698585035,1.2039608463624512,0.3071186757524761,0.06267438432466038,0.010658416329482922,0.001553633204515551,0.0001981583428636874,2.246589405607798e-05,2.2923322308841756e-06
Spain_3,2.3253467126590444,2.372693116108936,1.2105017700335063,0.4117162688271216,0.10502480678667325,0.02143264354746128,0.0036448389630269564,0.0005312930798552723,6.776384282536856e-05,7.682620331532991e-06,7.839046226987165e-07
Spain_4,0.5963958930794679,0.6085391147400822,0.31046479231816143,0.10559538949858994,0.026936354522122678,0.005496961171405447,0.0009348141404683653,0.00013626398554772684,1.7379807209101608e-05,1.970408622882603e-06,2.010528128981316e-07
Spain_5,0.12236904177625196,0.12486059883747404,0.06370144325620679,0.021666156287918615,0.005526825268359719,0.0011278714005773986,0.00019180599989940253,2.795876620476083e-05,3.5660043590380276e-06,4.04290200331209e-07,4.125219564093514e-08
Spain_6,0.020923157697481053,0.021349174282619815,0.010891932497467813,0.003704567741400489,0.0009449991188764486,0.00019284805073418087,3.279577191228008e-05,4.780503841803739e-06,6.09729964957014e-07,6.912718686269657e-08,7.053468608022819e-09
Spain_7,0.0030664515539860046,0.00312888759917625,0.001596297452596834,0.0005429332260317272,0.00013849697347274485,2.826338229664993e-05,4.806475542488937e-06,7.006200329073639e-07,8.936067039151373e-08,1.0131127081421205e-08,1.0337407042851382e-09
Spain_8,0.00039323579214411915,0.0004012424693266813,0.00020470608526444712,6.962470251402599e-05,1.776058291295165e-05,3.6244412574032576e-06,6.163730892520072e-07,8.9846152395344e-08,1.1459438829959355e-08,1.299196061974892e-09,1.3256490036269499e-10
Spain_9,4.482470605252943e-05,4.573738225936443e-05,2.3334320736958623e-05,7.936477010826687e-06,2.0245179210514564e-06,4.131478294026163e-07,7.025998928979718e-08,1.0241507643831315e-08,1.3062543830995266e-09,1.4809455992064192e-10,1.511099144673706e-11
Spain_10,4.598586602623796e-06,4.692218462080197e-06,2.393878380296693e-06,8.14206719197434e-07,2.0769619721786562e-07,4.238502023789095e-08,7.2080036636474605e-09,1.0506808407488544e-09,1.3400922024342258e-10,1.5193087008188e-11,1.5502433577120262e-12
