,Morocco_0,Morocco_1,Morocco_2,Morocco_3,Morocco_4,Morocco_5,Morocco_6,Morocco_7,Morocco_8,Morocco_9,Morocco_10
France_0,14.475737754659637,12.162083602184644,5.109110155678089,1.4308407142870474,0.30053743518127574,0.050500519893492184,0.007071505384941281,0.0008487525930095453,8.913708034008765e-05,8.321146593504041e-06,6.99117946535428e-07
France_1,15.81512007386755,13.287392724080767,5.581835755255775,1.5632307027490868,0.32834496622143444,0.05517313172181701,0.007725803593661255,0.0009272842876095615,9.738457911471129e-05,9.09106912261928e-06,7.638045436885907e-07
France_2,8.639215050381011,7.2584111069685635,3.0491503852216923,0.8539351045916503,0.17936270863882017,0.030139040849609645,0.004220320703915068,0.0005065411034555165,5.319759303965182e-05,4.966114757355736e-06,4.172381669290852e-07
France_3,3.1461890620337956,2.6433343190689493,1.1104253725062134,0.3109821054442264,0.0653194750640364,0.010975895391914067,0.001536936719308401,0.00018446977762082565,1.93732514322e-05,1.8085365208854432e-06,1.5194785051651478e-07
France_4,0.8593233490834804,0.721977877051443,0.3032921516142061,0.08493901004875277,0.017840806437779078,0.0029978628116113584,0.00041978583706336886,5.038450772800696e-05,5.291445293053279e-06,4.939682992421423e-07,4.150174487844715e-08
France_5,0.18776662272233585,0.15775592249271206,0.06627091311731342,0.018559615622272003,0.0038983090300497023,0.0006550486218272968,9.172538948944617e-05,1.1009277082608679e-05,1.1562083272336338e-06,1.0793464343720839e-07,9.068347184120318e-09
France_6,0.03418998665845143,0.028725408206833117,0.012067116095893919,0.0033794771472767343,0.0007098340045505081,0.00011927627666835664,1.6702062365594067e-05,2.0046536019887104e-06,2.105312792517197e-07,1.9653567634115456e-08,1.651234200967484e-09
France_7,0.005336207122088874,0.004483322248396448,0.001883376893277178,0.0005274523854713752,0.00011078744512019206,1.8616062164990504e-05,2.606776803957149e-06,3.1287660141888404e-07,3.2858699916684675e-08,3.0674334164356295e-09,2.5771661719152335e-10
France_8,0.0007287431373549278,0.0006122682733856527,0.0002572047813412683,7.203193155727529e-05,1.5129770732141574e-05,2.5423165250000588e-06,3.5599643399076924e-07,4.272822829142564e-08,4.487373057085411e-09,4.189063505926291e-10,3.519526357648787e-11
France_9,8.846342614877374e-05,7.432433515941175e-05,3.122254607004696e-05,8.744084343352148e-06,1.8366297906676735e-06,3.086163266970338e-07,4.3215040572287415e-08,5.186855661716534e-09,5.447302001063407e-10,5.08517872887421e-11,4.272415671022452e-12
France_10,9.664859438602524e-06,8.1201269660892e-06,3.4111443815753507e-06,9.553139616778795e-07,2.0065658250337952e-07,3.3717136536950795e-08,4.7213556036395126e-09,5.666774743101546e-10,5.951319144180116e-11,5.555690048912036e-12,4.667725264706704e-13
