,Belgium_0,Belgium_1,Belgium_2,Belgium_3,Belgium_4,Belgium_5,Belgium_6,Belgium_7,Belgium_8,Belgium_9,Belgium_10
Spain_0,15.056681128046703,16.865363284597827,9.445656592661091,3.5267716823296222,0.9876061852290431,0.22124845381731803,0.041304316646890785,0.006609427588492035,0.0009254230433916887,0.00011517659824533943,1.2901217438107632e-05
Spain_1,11.64217978771418,13.040695348103851,7.303603717815752,2.726982769092306,0.7636403182157773,0.1710745054098887,0.03193746857772245,0.005110564780160479,0.0007155588511993255,8.905725323569515e-05,9.97552459386696e-06
Spain_2,4.501003543104329,5.041686096301383,2.823659040724454,1.0542835903137027,0.295232322522085,0.06613941452762195,0.012347400731417142,0.0019758044113904593,0.0002766434622446408,3.443058084157156e-05,3.856655056014659e-06
Spain_3,1.1600939150826253,1.2994500684267378,0.7277731821453388,0.2717322850741066,0.0760935239471868,0.01704685002040735,0.0031824334992023714,0.0005092461387992182,7.13024093680343e-05,8.874178157060326e-06,9.940187827467219e-07
Spain_4,0.22425297140793743,0.25119133481549966,0.14068283307518112,0.0525274476170294,0.014709325364267875,0.003295256289616463,0.0006151830978731252,9.844027135993548e-05,1.3783174759767624e-05,1.7154307893964378e-06,1.9214967233956827e-07
Spain_5,0.03467953380771414,0.03884540897383457,0.021755854716951423,0.008123091453508507,0.0022747192291639774,0.000509593925036357,9.513480649411916e-05,1.522326637294494e-05,2.131494945453708e-06,2.65282282246548e-07,2.9714928708433567e-08
Spain_6,0.004469171792795768,0.005006030560504821,0.002803689714177588,0.0010468275437498884,0.0002931443966887589,6.567166698895958e-05,1.2260078121408456e-05,1.961831235835357e-06,2.7468699952908515e-07,3.418708277678848e-08,3.8293802317241114e-09
Spain_7,0.000493666955376556,0.0005529686438346638,0.0003096969705326041,0.00011563309496412141,3.238087692943831e-05,7.254125238417361e-06,1.3542543718347995e-06,2.1670486122700828e-07,3.0342063591656105e-08,3.77632229193538e-09,4.2299525899222933e-10
Spain_8,4.771436182441207e-05,5.344604426552345e-05,2.993312221322462e-05,1.1176278403698696e-05,3.1297069029553885e-06,7.011325197600674e-07,1.3089266436869185e-07,2.0945161601524357e-08,2.9326496030249644e-09,3.649926458325687e-10,4.0883734707685897e-11
Spain_9,4.0993184656455715e-06,4.591748643304221e-06,2.5716659708171474e-06,9.60195687119879e-07,2.688847719803182e-07,6.023690509985078e-08,1.124547611133722e-08,1.7994768123489904e-09,2.5195484569590645e-10,3.135787707676669e-11,3.5124738595167542e-12
Spain_10,3.1696894008894855e-07,3.5504479898801906e-07,1.9884725811473592e-07,7.424458767353601e-08,2.0790802640711183e-08,4.6576591020555e-09,8.695266478265207e-10,1.3913977718612662e-10,1.948174094298604e-11,2.424664768975684e-12,2.7159273563924764e-13
