fase,home_team,away_team,clasifica_local,prediccion_modelo,prob_equipo_1,prob_equipo_2,clasificado_real,clasificado_predicho,resultado_prediccion
Octavos de final,Netherlands,United States,1,1,0.684190305688842,0.31580969431115796,Netherlands,Netherlands,CORRECTO
Octavos de final,Argentina,Australia,1,1,0.667097978187077,0.33290202181292294,Argentina,Argentina,CORRECTO
Octavos de final,France,Poland,1,1,0.6341026104309662,0.365897389569034,France,France,CORRECTO
Octavos de final,England,Senegal,1,1,0.5899549676794975,0.41004503232050243,England,England,CORRECTO
Octavos de final,Japan,Croatia,0,0,0.4397676364452229,0.5602323635547773,Croatia,Croatia,CORRECTO
Octavos de final,Brazil,South Korea,1,1,0.755680183089108,0.24431981691089183,Brazil,Brazil,CORRECTO
Octavos de final,Portugal,Switzerland,1,1,0.7177215376489128,0.2822784623510873,Portugal,Portugal,CORRECTO
Octavos de final,Morocco,Spain,1,1,0.5314991722342436,0.4685008277657565,Morocco,Morocco,CORRECTO
Cuartos de final,Netherlands,Argentina,0,1,0.5752652774483021,0.4247347225516979,Argentina,Netherlands,INCORRECTO
Cuartos de final,Croatia,Brazil,1,0,0.2794009877288262,0.7205990122711735,Croatia,Brazil,INCORRECTO
Cuartos de final,Morocco,Portugal,1,0,0.3487476553746128,0.6512523446253874,Morocco,Portugal,INCORRECTO
Cuartos de final,England,France,0,1,0.7401529149649132,0.2598470850350867,France,England,INCORRECTO
Semifinal,Argentina,Croatia,1,1,0.7088624647577015,0.2911375352422984,Argentina,Argentina,CORRECTO
Semifinal,France,Morocco,1,1,0.694874827061986,0.30512517293801383,France,France,CORRECTO
Final,Argentina,France,1,1,0.6827243155920688,0.3172756844079311,Argentina,Argentina,CORRECTO
